,URL,Business Name,Business Address,Business Phone Number
0,www.slt-leisure.co.uk			,Sandwell Leisure Trust,"Carnegie Building, Victoria Road, Tipton DY4 8SR, UK",+44 300 012 0121
1,www.stevensons.co.uk			,None,None,None
2,www.northamptonshire.gov.uk			,West Northamptonshire Council - Northampton Area,"The Guildhall, St Giles' Square, Northampton NN1 1DE, UK",+44 300 126 7000
3,www.furniturevillage.co.uk			,Nebraska Furniture Mart,"5600 Nebraska Furniture Mart Dr, The Colony, TX 75056, USA",+1 800-336-9136
4,www.furniturevillage.co.uk			,Nebraska Furniture Mart,"1601 Village West Pkwy, Kansas City, KS 66111, USA",+1 800-407-5000
5,www.furniturevillage.co.uk			,Nebraska Furniture Mart,"700 S 72nd St, Omaha, NE 68114, USA",+1 800-336-9136
6,www.furniturevillage.co.uk			,Nebraska Furniture Mart,"15500 Hickman Rd, Clive, IA 50325, USA",+1 515-727-6500
7,www.furniturevillage.co.uk			,Furniture Village Ridgmont: Warehouse Only,"Badgers Rise, Ridgmont, Brogborough, Bedford MK43 0YL, UK",+44 1525 289600
8,www.furniturevillage.co.uk			,Furniture Village,"Eagle Park Dr, Warrington WA2 8JA, UK",+44 1925 581100
9,www.furniturevillage.co.uk			,Furniture Village Solihull,"3, Solihull Gate Retail Park, Marshall Lake Rd, Shirley, Solihull B90 4BP, UK",+44 121 506 8680
10,www.furniturevillage.co.uk			,Furniture Village High Wycombe,"High Wycombe Retail Park, London Rd, High Wycombe HP11 1LP, UK",+44 1494 455000
11,www.furniturevillage.co.uk			,Furniture Village Peterborough,"The, Boulevard Retail Park, Maskew Ave, Peterborough PE1 2HS, UK",+44 1733 318800
12,www.furniturevillage.co.uk			,Furniture Village Staines,"Two Rivers Retail Park, Staines-upon-Thames, Staines TW18 4WA, UK",+44 1784 417980
13,www.furniturevillage.co.uk			,Furniture Village Brighton & Hove,"154 Old Shoreham Rd, Hove BN3 7BD, UK",+44 1273 716140
14,www.furniturevillage.co.uk			,Furniture Village Stevenage,"4C Roaring Meg Retail Park, Great N Rd, Stevenage SG1 1XN, UK",+44 1438 725692
15,www.furniturevillage.co.uk			,Furniture Village Milton Keynes,"Cairngorm Gate, Milton Keynes MK6 1AZ, UK",+44 1908 209400
16,www.furniturevillage.co.uk			,Furniture Village Cambridge,"Unit 7, Henley Rd, Cambridge CB5 8WR, UK",+44 1223 454570
17,www.furniturevillage.co.uk			,Furniture Village Gillingham,"Will Adams Way, Gillingham ME8 6BY, UK",+44 1634 266230
18,www.furniturevillage.co.uk			,Furniture Village Southampton,"west quay retail park, Pirelli St, Southampton SO15 1BA, UK",+44 23 8082 1919
19,www.furniturevillage.co.uk			,Furniture Village Thurrock,"West, Thurrock shopping Park, West Thurrock, Grays RM20 3LP, UK",+44 1708 899420
20,www.furniturevillage.co.uk			,Furniture Village Chelmsford,"Unit B Clock Tower Retail Park, Westway, Chelmsford CM1 3FJ, UK",+44 1245 847888
21,www.furniturevillage.co.uk			,Furniture Village Leeds,"West Yorkshire Retail Park, Leeds, Birstall, Batley WF17 9AD, UK",+44 1924 284400
22,www.furniturevillage.co.uk			,Furniture Village Ipswich,"3 James Bennett Ave, Ipswich IP3 9SR, UK",+44 1473 558850
23,www.wealdprimaryschool.co.uk			,Weald Church Of England Primary School,"Newdigate Rd, Beare Green, Dorking RH5 4QW, UK",+44 1306 711719
24,www.themermaidinn.co.uk			,The Mermaid Inn,"Mermaid St, Rye TN31 7EY, UK",+44 1797 223065
25,www.ee.co.uk			,EE,"115 High St, Gillingham ME7 1BS, UK",None
26,www.riverspice.net			,None,None,None
27,www.fantasiapalace.co.uk			,Fantasia Grill House,"28 Praed St, London W2 1NH, UK",+44 20 8127 5422
28,www.morsepoint.co.uk			,MorsePoint Designer Clothing,"Victoria Buildings, Royal Square, Bowness-on-Windermere, Windermere LA23 3ED, UK",+44 15394 43750
29,www.rina.org			,RINA S.p.A.,"19500 TX-249, Houston, TX 77070, USA",+1 281-847-4300
30,www.fairfieldprimary.co.uk			,Fairfield Primary School,"Gallowbarrow, Cockermouth CA13 0DX, UK",+44 1900 821133
31,www.fredhamer.co.uk			,Fred Hamer Funeral Service Ltd,"195 Bury Rd, Rossendale BB4 6DJ, UK",+44 1706 217346
32,www.waudwineclub.com			,Waud Wine Club,"44 Loman St, London SE1 0EH, UK",+44 20 7940 5516
